amount,txn_hour,payment_mode,receiver_type,is_new_receiver,avg_amount_7d,avg_amount_30d,max_amount_7d,txn_count_1h,txn_count_24h,days_since_last_txn,night_txn_ratio,location_mismatch,is_night,is_round_amount,velocity_check,deviation_from_sender_avg,exceeds_recent_max,is_fraud
344.55,4,MANUAL,MERCHANT,0,315.97,295.62,389.52,1,3,7,0.15,0,1,0,0,1.16,0,0
7629.0,23,QR,MERCHANT,0,7203.62,7115.71,10642.68,0,1,3,0.263,0,0,0,0,1.07,0,0
3937.66,17,MANUAL,MERCHANT,0,4045.4,3582.14,7564.26,0,3,14,0.198,0,0,0,0,1.1,0,0
2781.91,9,MANUAL,MERCHANT,1,3292.22,3147.17,6023.56,1,6,9,0.198,0,0,0,0,0.88,0,0
3954.4,15,MANUAL,MERCHANT,1,3535.37,3894.53,6718.41,0,2,11,0.323,0,0,0,0,1.02,0,0
608.62,17,MANUAL,MERCHANT,1,543.05,603.1,703.51,1,4,9,0.04,0,0,0,0,1.01,0,0
2987.81,8,QR,INDIVIDUAL,1,2907.59,2629.42,4072.39,1,2,3,0.323,0,0,0,0,1.14,0,0
5021.08,9,QR,MERCHANT,1,5032.61,5242.09,7227.51,1,3,12,0.099,0,0,1,0,0.96,0,0
13768.03,21,QR,INDIVIDUAL,0,10242.76,10143.63,11961.33,0,5,1,0.114,0,0,0,0,1.36,1,0
2283.71,11,QR,MERCHANT,0,1865.4,1791.22,3648.93,2,6,2,0.058,0,0,0,0,1.27,0,0
1758.74,4,QR,MERCHANT,1,1505.27,1332.21,2401.2,0,1,9,0.111,0,1,0,0,1.32,0,0
2317.9,14,MANUAL,INDIVIDUAL,1,2770.59,2617.97,4644.91,2,3,4,0.164,0,0,0,0,0.89,0,0
8298.76,22,QR,MERCHANT,0,8495.93,9170.22,14892.15,2,3,3,0.132,0,0,0,0,0.9,0,0
4894.54,6,QR,INDIVIDUAL,0,3912.36,4222.41,4679.74,0,3,2,0.023,0,0,0,0,1.16,1,1
2260.22,19,MANUAL,MERCHANT,0,1977.33,1861.74,3085.18,1,3,9,0.329,0,0,0,0,1.21,0,0
5778.74,6,MANUAL,INDIVIDUAL,0,7557.91,6601.52,10805.8,0,5,4,0.21,0,0,0,0,0.88,0,0
3973.37,2,QR,MERCHANT,0,3384.93,2864.72,5106.09,3,4,1,0.1,0,1,0,1,1.39,0,0
8706.11,2,QR,MERCHANT,0,7411.61,6631.85,8924.88,1,3,7,0.076,0,1,0,0,1.31,0,0
1935.56,6,QR,MERCHANT,0,1530.06,1443.54,2132.67,0,2,6,0.201,0,0,0,0,1.34,0,0
2711.08,0,QR,INDIVIDUAL,1,2026.89,1956.42,3075.5,0,2,9,0.02,0,1,0,0,1.39,0,0
2558.31,23,MANUAL,INDIVIDUAL,1,2142.8,2300.53,2395.24,1,4,2,0.361,0,0,0,0,1.11,1,0
975.39,17,MANUAL,MERCHANT,0,1344.61,1136.87,1872.55,0,1,12,0.023,0,0,0,0,0.86,0,0
4752.89,0,MANUAL,MERCHANT,0,5057.58,5407.48,6687.3,0,4,3,0.188,0,1,0,0,0.88,0,0
4605.24,5,QR,MERCHANT,1,4066.12,3990.89,7557.12,0,0,1,0.313,0,1,0,0,1.15,0,0
3657.74,19,QR,MERCHANT,0,2615.95,2861.31,3820.97,1,5,6,0.318,0,0,0,0,1.28,0,0
2947.97,6,QR,MERCHANT,0,2721.45,2532.49,4514.53,0,3,8,0.066,0,0,0,0,1.16,0,0
1018.58,11,MANUAL,MERCHANT,1,971.11,989.84,1318.58,0,2,13,0.29,0,0,1,0,1.03,0,0
2493.44,2,QR,MERCHANT,1,2041.56,1850.22,3512.46,3,4,10,0.283,0,1,0,1,1.35,0,1
2674.6,1,QR,INDIVIDUAL,1,2338.22,1955.46,4212.38,0,2,2,0.074,0,1,0,0,1.37,0,0
1768.61,14,QR,MERCHANT,0,1338.29,1462.66,2599.41,2,5,9,0.219,0,0,0,0,1.21,0,0
3149.01,19,QR,INDIVIDUAL,0,2382.6,2505.13,3846.12,0,1,0,0.031,0,0,0,0,1.26,0,0
5237.74,3,QR,MERCHANT,0,3879.07,3846.92,4908.59,1,4,10,0.038,0,1,0,0,1.36,1,0
19881.94,19,MANUAL,INDIVIDUAL,0,20665.03,20041.12,29750.22,1,6,14,0.026,0,0,0,0,0.99,0,0
4260.41,18,MANUAL,MERCHANT,0,4346.45,3990.66,8375.84,1,2,13,0.105,0,0,0,0,1.07,0,0
4590.73,22,MANUAL,INDIVIDUAL,1,3313.38,3612.59,4688.15,1,1,12,0.063,0,0,0,0,1.27,0,0
3404.99,20,QR,MERCHANT,1,2587.45,2505.75,4043.11,0,1,4,0.029,0,0,0,0,1.36,0,0
647.49,10,QR,INDIVIDUAL,1,722.25,633.34,877.65,0,3,2,0.124,0,0,0,0,1.02,0,0
3555.1,19,QR,INDIVIDUAL,1,3359.72,2857.94,5347.68,0,1,11,0.036,0,0,0,0,1.24,0,0
3843.76,4,MANUAL,INDIVIDUAL,0,3488.49,3467.53,3871.47,2,3,0,0.061,0,1,0,0,1.11,0,0
33420.27,22,QR,MERCHANT,1,31481.99,27772.38,40291.04,0,2,0,0.203,0,0,0,0,1.2,0,0
3062.16,19,QR,MERCHANT,0,2509.91,2775.3,2807.45,0,5,10,0.083,0,0,0,0,1.1,1,0
4776.16,11,QR,MERCHANT,1,6325.6,5334.86,11459.18,3,6,2,0.143,0,0,0,1,0.9,0,0
3528.96,15,QR,INDIVIDUAL,0,4046.64,3598.82,5646.77,0,3,2,0.053,0,0,0,0,0.98,0,0
1271.8,9,MANUAL,INDIVIDUAL,0,1681.11,1421.84,2753.62,0,1,2,0.011,0,0,0,0,0.89,0,0
10183.67,20,QR,INDIVIDUAL,0,9865.09,8756.81,19438.52,0,2,0,0.136,0,0,0,0,1.16,0,0
7163.4,21,QR,INDIVIDUAL,0,5894.58,6414.81,8746.73,0,0,11,0.047,0,0,0,0,1.12,0,0
7419.96,5,QR,INDIVIDUAL,1,4787.47,5315.69,5694.13,1,4,5,0.239,0,1,0,0,1.4,1,0
1606.08,11,QR,INDIVIDUAL,0,1736.91,1660.88,2379.11,2,2,14,0.164,0,0,0,0,0.97,0,0
12868.21,6,QR,INDIVIDUAL,0,11346.15,11124.53,14727.47,1,6,2,0.267,0,0,0,0,1.16,0,0
1031.05,9,QR,MERCHANT,0,836.33,902.18,1422.44,0,2,14,0.159,0,0,1,0,1.14,0,0
6174.43,15,QR,MERCHANT,0,5687.05,5116.85,7347.14,0,1,9,0.054,0,0,0,0,1.21,0,0
26144.92,2,QR,INDIVIDUAL,0,29696.09,27155.37,54353.42,1,3,1,0.11,0,1,0,0,0.96,0,0
1492.96,15,MANUAL,INDIVIDUAL,0,1997.21,1798.77,3105.19,0,6,2,0.107,0,0,0,0,0.83,0,0
2187.1,11,QR,INDIVIDUAL,0,1728.22,1720.7,2342.79,1,3,0,0.156,0,0,0,0,1.27,0,0
3982.58,7,QR,INDIVIDUAL,0,4488.19,4281.41,4952.84,1,2,10,0.288,0,0,0,0,0.93,0,0
2314.32,4,QR,MERCHANT,0,1834.15,1767.9,3101.39,1,1,0,0.225,0,1,0,0,1.31,0,0
901.81,16,MANUAL,INDIVIDUAL,0,1087.48,1006.31,1304.19,1,6,14,0.047,0,0,0,0,0.9,0,0
3872.7,19,QR,MERCHANT,0,3195.3,3238.89,6154.32,0,2,10,0.181,0,0,0,0,1.2,0,0
1399.58,19,QR,MERCHANT,0,1145.79,1109.93,2185.34,1,3,2,0.145,0,0,0,0,1.26,0,0
5576.03,13,QR,MERCHANT,0,6462.08,5830.51,10452.22,2,7,4,0.17,0,0,0,0,0.96,0,0
1591.64,23,QR,MERCHANT,0,1461.12,1292.18,2360.8,1,4,13,0.116,0,0,0,0,1.23,0,0
14690.27,8,MANUAL,INDIVIDUAL,0,13747.15,13634.3,16885.3,1,5,7,0.18,0,0,0,0,1.08,0,0
1799.15,18,MANUAL,MERCHANT,0,1705.86,1513.94,2500.23,0,1,7,0.18,1,0,0,0,1.19,0,0
2724.78,11,MANUAL,MERCHANT,1,1845.68,1961.03,3630.21,0,4,4,0.238,0,0,0,0,1.39,0,0
7571.64,10,QR,INDIVIDUAL,0,6880.4,5954.28,10582.02,0,3,0,0.152,0,0,0,0,1.27,0,0
1202.58,0,QR,INDIVIDUAL,0,979.83,885.18,1404.17,0,4,2,0.039,0,1,0,0,1.36,0,0
4468.08,10,QR,INDIVIDUAL,1,4508.45,4124.91,5272.76,0,0,8,0.166,0,0,0,0,1.08,0,0
11806.77,7,MANUAL,MERCHANT,0,10023.07,10886.29,19881.59,0,2,2,0.146,0,0,0,0,1.08,0,0
856.85,19,QR,INDIVIDUAL,0,1020.26,919.47,1769.75,0,4,1,0.076,0,0,0,0,0.93,0,0
4299.14,20,MANUAL,INDIVIDUAL,0,3782.62,3482.99,7076.75,0,3,3,0.029,0,0,0,0,1.23,0,0
4600.38,3,QR,MERCHANT,0,3106.42,3327.27,5591.33,0,0,12,0.058,0,1,0,0,1.38,0,0
7358.71,3,QR,INDIVIDUAL,0,10029.45,8452.32,16672.3,3,8,4,0.256,1,1,0,1,0.87,0,0
1196.01,10,MANUAL,INDIVIDUAL,1,1103.85,1119.15,1812.53,0,2,5,0.067,0,0,0,0,1.07,0,0
1109.42,18,QR,INDIVIDUAL,1,909.86,982.7,1497.49,1,4,1,0.188,0,0,0,0,1.13,0,0
5824.03,3,QR,INDIVIDUAL,0,4738.4,4553.84,5512.75,2,2,7,0.166,0,1,0,0,1.28,1,0
4756.59,22,QR,MERCHANT,1,3831.29,3705.28,6789.56,1,5,9,0.273,0,0,0,0,1.28,0,0
4561.67,5,MANUAL,MERCHANT,0,4099.18,4329.85,4999.82,2,3,13,0.21,0,1,0,0,1.05,0,0
4973.12,8,QR,MERCHANT,0,3778.47,3647.58,5999.06,1,6,10,0.026,0,0,0,0,1.36,0,0
1974.32,10,QR,INDIVIDUAL,1,2033.68,2067.59,2420.28,0,6,11,0.1,0,0,0,0,0.95,0,0
4487.4,11,QR,MERCHANT,1,5025.46,4210.93,7185.56,1,3,9,0.058,0,0,0,0,1.07,0,0
4739.87,17,QR,MERCHANT,0,4150.48,4206.04,5786.09,1,4,4,0.022,0,0,0,0,1.13,0,0
1914.25,19,MANUAL,INDIVIDUAL,1,2615.6,2194.29,5055.26,0,5,3,0.32,0,0,0,0,0.87,0,0
19520.04,8,MANUAL,MERCHANT,0,19150.03,17221.22,25985.85,1,4,8,0.324,0,0,0,0,1.13,0,0
5577.24,23,MANUAL,INDIVIDUAL,1,5686.95,5599.8,8538.49,1,2,13,0.091,0,0,0,0,1.0,0,1
1246.17,14,QR,MERCHANT,0,1096.56,960.55,1501.55,0,1,7,0.108,0,0,0,0,1.3,0,0
6574.13,16,MANUAL,INDIVIDUAL,1,6318.23,6029.74,6989.52,0,4,12,0.05,0,0,0,0,1.09,0,0
1514.42,8,QR,INDIVIDUAL,0,1391.2,1201.67,1994.1,1,3,9,0.19,0,0,0,0,1.26,0,0
7393.65,12,QR,MERCHANT,0,5945.18,5525.78,10236.4,1,2,9,0.137,0,0,0,0,1.34,0,0
10329.26,1,QR,MERCHANT,0,12908.88,11537.7,20182.9,0,2,2,0.297,0,1,0,0,0.9,0,0
1739.56,16,QR,MERCHANT,1,1861.85,1626.16,3135.42,0,2,8,0.264,0,0,0,0,1.07,0,0
8664.92,17,QR,MERCHANT,0,10659.73,10756.07,21101.27,0,3,6,0.044,1,0,0,0,0.81,0,0
5279.06,5,QR,INDIVIDUAL,0,6394.25,6348.91,9315.23,2,6,3,0.089,0,1,0,0,0.83,0,0
7630.08,1,QR,MERCHANT,0,6320.71,6909.72,8373.45,3,5,13,0.083,0,1,0,1,1.1,0,0
20072.65,0,QR,MERCHANT,1,20204.52,21669.49,30682.23,1,2,5,0.153,0,1,0,0,0.93,0,0
2919.45,4,MANUAL,INDIVIDUAL,1,2557.52,2538.7,4329.13,0,4,6,0.388,1,1,0,0,1.15,0,0
1847.59,13,QR,INDIVIDUAL,0,2212.62,1865.53,2728.86,0,3,1,0.25,0,0,0,0,0.99,0,0
1635.06,17,QR,MERCHANT,1,1233.92,1172.67,1749.12,0,5,10,0.092,0,0,0,0,1.39,0,0
1747.2,3,MANUAL,INDIVIDUAL,0,1522.08,1368.98,2017.3,3,5,7,0.275,0,1,0,1,1.28,0,0
3396.87,13,QR,INDIVIDUAL,0,3333.58,3080.52,5712.36,1,5,14,0.307,0,0,0,0,1.1,0,0
4949.47,14,QR,MERCHANT,0,3855.5,3616.93,4554.44,2,6,8,0.201,0,0,0,0,1.37,1,0
4670.5,23,QR,MERCHANT,1,4142.1,3963.92,7105.83,1,4,2,0.297,1,0,0,0,1.18,0,0
7665.35,21,QR,INDIVIDUAL,0,8559.3,8912.13,12561.73,1,6,3,0.079,0,0,0,0,0.86,0,0
3683.81,7,QR,INDIVIDUAL,0,3026.86,2846.14,3506.59,0,2,2,0.079,0,0,0,0,1.29,1,1
13469.47,20,MANUAL,MERCHANT,1,12061.41,11114.54,18249.6,0,3,2,0.034,0,0,0,0,1.21,0,0
2869.26,1,QR,INDIVIDUAL,0,3616.69,3095.04,5014.93,1,2,3,0.056,0,1,0,0,0.93,0,0
42114.71,16,QR,MERCHANT,1,37095.43,36739.88,67191.52,0,3,12,0.129,0,0,0,0,1.15,0,0
6393.91,23,QR,MERCHANT,0,5608.48,5546.37,10474.72,1,8,9,0.016,0,0,0,0,1.15,0,0
1683.38,16,MANUAL,MERCHANT,1,2336.43,2017.03,2960.52,1,3,13,0.238,0,0,0,0,0.83,0,0
1388.8,19,QR,MERCHANT,1,1318.3,1461.47,1838.6,1,4,4,0.197,0,0,0,0,0.95,0,0
5620.78,5,QR,MERCHANT,1,4354.32,4445.98,7253.34,2,3,5,0.331,0,1,0,0,1.26,0,0
2977.63,5,MANUAL,INDIVIDUAL,0,2560.69,2718.93,4984.98,1,4,4,0.223,0,1,0,0,1.09,0,0
6922.97,18,QR,MERCHANT,0,7258.35,7743.3,9982.59,0,3,13,0.115,0,0,0,0,0.89,0,0
5574.25,0,QR,MERCHANT,0,4702.1,4183.88,9181.85,1,2,2,0.097,0,1,0,0,1.33,0,0
3409.95,5,MANUAL,MERCHANT,0,2724.77,2799.86,4344.36,0,4,6,0.089,0,1,0,0,1.22,0,1
1699.15,4,QR,MERCHANT,0,1855.51,1650.83,3195.68,1,3,14,0.159,0,1,0,0,1.03,0,0
931.35,3,QR,MERCHANT,0,961.55,845.94,1475.87,0,2,11,0.064,0,1,0,0,1.1,0,0
2436.06,12,MANUAL,INDIVIDUAL,1,2211.61,2128.1,2928.48,1,4,9,0.055,0,0,0,0,1.14,0,0
7869.57,19,QR,INDIVIDUAL,1,8545.18,8369.03,11259.11,1,5,11,0.145,0,0,0,0,0.94,0,0
4414.65,16,QR,INDIVIDUAL,1,4034.8,3584.2,5548.92,2,2,9,0.043,0,0,0,0,1.23,0,0
1186.59,12,QR,MERCHANT,0,1057.79,951.34,1423.16,2,6,11,0.157,0,0,0,0,1.25,0,0
4255.05,21,QR,INDIVIDUAL,0,4687.85,5113.68,6263.54,1,4,0,0.183,0,0,0,0,0.83,0,0
5150.17,15,QR,INDIVIDUAL,0,4318.27,3763.45,8030.07,0,1,2,0.044,0,0,0,0,1.37,0,0
1643.41,12,QR,MERCHANT,0,1470.99,1237.46,2759.92,0,2,1,0.232,0,0,0,0,1.33,0,0
4181.2,22,QR,INDIVIDUAL,1,5159.86,4338.99,6985.72,0,1,10,0.345,0,0,0,0,0.96,0,0
3836.78,0,QR,INDIVIDUAL,0,5124.63,4426.4,10076.55,0,3,13,0.014,0,1,0,0,0.87,0,0
1301.57,9,QR,MERCHANT,0,979.34,1052.38,1953.99,0,2,11,0.259,0,0,0,0,1.24,0,0
5024.14,17,QR,MERCHANT,0,4611.55,4307.25,5588.42,0,1,14,0.31,1,0,1,0,1.17,0,0
6031.23,22,QR,MERCHANT,0,5328.35,5025.4,6178.59,1,4,1,0.231,0,0,1,0,1.2,0,0
9650.32,23,QR,MERCHANT,0,7142.43,7794.6,8438.12,1,4,11,0.048,0,0,0,0,1.24,1,0
9399.59,23,MANUAL,MERCHANT,0,10799.77,9263.65,15083.41,0,3,1,0.034,0,0,0,0,1.01,0,0
1053.74,16,QR,MERCHANT,0,954.94,796.8,1160.78,1,3,7,0.17,0,0,0,0,1.32,0,0
1565.5,16,QR,INDIVIDUAL,0,1263.99,1234.08,1576.02,0,5,10,0.035,0,0,0,0,1.27,0,0
5787.94,9,QR,INDIVIDUAL,1,5653.71,5483.71,9952.35,1,4,4,0.013,0,0,0,0,1.06,0,0
5781.44,19,MANUAL,INDIVIDUAL,0,6808.27,6003.46,11246.6,0,5,2,0.373,0,0,0,0,0.96,0,1
5788.0,1,QR,INDIVIDUAL,0,7706.3,6595.76,8910.89,0,0,0,0.049,0,1,0,0,0.88,0,0
116711.26,9,QR,MERCHANT,0,112755.33,118794.13,124923.01,0,4,1,0.092,0,0,0,0,0.98,0,0
6086.34,19,QR,MERCHANT,0,5365.93,5066.51,10166.89,2,3,10,0.401,0,0,0,0,1.2,0,0
10117.37,5,MANUAL,MERCHANT,0,9186.66,9766.2,12984.82,0,1,6,0.195,0,1,0,0,1.04,0,0
8592.13,2,MANUAL,INDIVIDUAL,0,8354.54,7529.31,16362.42,1,5,9,0.095,0,1,0,0,1.14,0,0
6543.66,9,QR,MERCHANT,0,8707.15,7434.59,15667.41,1,4,3,0.243,0,0,0,0,0.88,0,0
2741.49,18,QR,MERCHANT,1,2520.7,2560.67,3539.44,3,6,0,0.126,0,0,0,1,1.07,0,1
7208.9,16,QR,INDIVIDUAL,0,7023.53,7226.73,9770.64,2,5,2,0.222,0,0,0,0,1.0,0,0
1816.12,11,MANUAL,INDIVIDUAL,1,1496.54,1578.35,1680.98,0,1,6,0.446,0,0,0,0,1.15,1,0
2942.05,20,QR,MERCHANT,0,2709.79,2486.41,3437.15,1,4,13,0.326,0,0,0,0,1.18,0,0
2352.36,11,QR,INDIVIDUAL,1,2190.78,2373.94,3543.72,0,7,13,0.023,0,0,0,0,0.99,0,0
3919.37,22,QR,MERCHANT,0,4177.01,4134.74,7935.92,1,1,10,0.166,0,0,0,0,0.95,0,0
29237.07,5,QR,INDIVIDUAL,1,27321.23,25068.15,54543.95,0,0,1,0.319,0,1,0,0,1.17,0,0
